WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
AIO8DX5OGCGN1,['3YMTUJH0DSGTPWPAY5PGATIX1DPT4D'],5,5,5,5,5,5,5,5,5,5,5.0,1
ARQ3Y4VCYDMCK,['3G2UL9A02DEK6LWH4QFU2VAT876671'],3,2,4,3,3,2,2,2,2,2,2.0,1
AXTFSJDN2YLO5,"['3S96KQ6I9M46PS83RGQ9DXC3ERCDT6', '3VW6495TLJ054P2OXI0MYZEJBGGYY2', '3Q8GYXHFEP2UZYRZQOD0QBO7DND5C4', '3J4Q2Z4UTY3S6IG2R7140GQ11ZGQW9', '32XVDSJFPZXF9NK3LU5GV0Q7NR9M2L', '3JPSL1DZ5SZAW807AADVEXY545BANG', '3ZQIG0FLQEGKBQCJD6VE63P9IRXWVB', '30BXRYBRP4XFTPHZ8HEAR2Y0AC2HWM', '3WR9XG3T63B6RYS3L2MF5XQFCGD74U', '3I3WADAZ9Q4V8NO2GTMRLBIO21M5OR', '3PS7W85Z8Z2UM2VMF0L7R1TDN5R9TD', '3VSOLARPKB9PNLXS0LFG9OPFT6G39S', '3M23Y66PO276PJG9STD5XM6PVL46S9', '30H4UDGLT2IB1UL9NSGSRDY0Y12PMC', '3WQQ9FUS6AUUCBIVAMO8RBSGXSV8BJ', '3RSDURM96AM7YKLXXHOSRWM3T4CEY4']",3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.5,3.0,2.0,2.0,16
A2UNRV6PEOEXG0,"['3X1FV8S5JXROE4MJY1RWK03LO4CGV3', '30LSNF239UVTD4UC0F7O37JQ6JBI2P', '3YMTUJH0DSGTPWPAY5PGATIX1D74T6', '3NS0A6KXC485NORTZYGZ56GHCFNZGR', '3IUZPWIU1O76VFI7E2H74UES2U1WK2', '37U1UTWH9VMHSIZK6JAYRQXKFFLR84']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6
A1AQHN3E11IE,"['3LOTDFNYA7ZVFTQTDRQAOHMNUX6WFK', '351SEKWQS0H2CXIJIJPXRJHBKJLDMA', '3E4GGUZ1T8RKJZK00IS0GNY3YN82KS', '3R3YRB5GRF3NRYKG7BPHSSQZC2PAUV', '3WYP994K17R3L5SIRZ5UF8UQC7C6Y1', '3RANCT1ZVFHSA8P8DPPDN3A5UJYUBW', '3PPTZCWALQKW0DL72ULBZKKJI2PZQF', '3VAR3R6G1P1EV574ERTUXVSF4RL8OU', '3NGI5ARFTT5E55ZKU6XU7LAX0RRP1Q', '3OUYGIZWR7YEYGE2YNTUTGRNVYHP0H', '3RGU30DZTA8FFJIBSFB8UHCOP2ZJM9', '3SEPORI8WNZ4DXEQDYOP9K5EEJ0ZA3', '3Y4W8Q93LZKL2KCSWBQOEF0OBBFVDP', '3QXNC7EIPIVT6TYVHYXX7QR8QUU901', '3H8DHMCCW9B7M9IGX7CHC6P7VDBDKO']",2,2,2,2,2,2,2,2,2,2,2.0,15
AJ7MWBQFNH3E4,"['3QEMNNSB2XZJRUBWEDN881KLPUOD7X', '3A1COHJ8NJV43OLHAEY4DMVES6U8HV', '3HL8HNGX451K3XDLKGGIAXECWXS9FG', '3X31TUMD7XMOEKKM2E4NQ41DVHQ1L4']",2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
A36F0LE7SWPASH,"['3WI0P0II61ST9DVBNRLEDIBLQ5QRDG', '3HOSI13XHZOZ83C65QQU8TUHB40DDX', '32XVDSJFPZXF9NK3LU5GV0Q7NR1M2D', '33CKWXB73JKBODGI94M46PSZXAV116']",3.5,3.0,2.5,3.5,3.0,3.5,3.0,3.5,3.0,3.5,3.0,4
A2CK8S4CH1HPBE,"['3T3IWE1XG6N0E1C8W2WTDWJ2X61QTO', '3RXCAC0YIRPQ3SQ6Q8GMSMJDD548GH', '337RC3OW05240W0K9SOCXS8TKK8LVM', '3XC1O3LBOSMPN4WV4XOXWAK8NZ9TLV', '3COPXFW7XBCGB6L62G3CC06W9XSPKU', '3OVR4I9USPJGXGXIH1VL5O7AH6VQ41', '3MMN5BL1WZ44U5GMPUJLEAVZT5A3ME', '3P4RDNWND56TJ0SK70DG2O578TBJIP', '39K0FND3AHF4EQF7Y9YV1I95ZFAMA1', '3TXD01ZLD4H8P94ZYAFQFP4ZKSX4UI', '392CY0QWG1R3GI9Z4TQCWMGOQWFI4R', '3PDJHANYK5GHZA2THZ16T8ZNMAKH6W', '3A4TN5196KI6FRBURQE9F8RXIX8HC3', '3URFVVM165IOS6SOJ35G9LH8LMHZU4', '3X3OR7WPZZ06PK471ZD25EOL9NV8LU']",3,3,3,3,3,3,3,3,2,2,3.0,15
AW8JVJQNLTXND,"['3WR9XG3T63B6RYS3L2MF5XQFCHT74C', '31QNSG6A5RT7AZF5X5CSM96KE2N87G', '3OLQQLKKNSPH3VQYBHNPH97FG1SEJ1', '3LRKMWOKB5HF8UJM0JVA32MG2WIZ28', '32AT8R96GL9RRU6AOBB8DSK5Y7QUS3']",4,5,4,4,4,4,4,4,4,5,4.0,5
AO6B0VEVBGGAP,"['3KMS4QQVK2Q4KTWCOD7706SS7R6FKI', '3LWJHTCVCCMQVWU71IR4WS416X4QFR', '3ERMJ6L4DYSMVOH9R6MBRR7FY8OM7W', '3D8YOU6S9EKM4W8DHY85CNODGIOU6C', '3WETL7AQWT86MYVGXV2ZX8KD7B1539', '3ZAK8W07I4ERQLMYF9SO3MEM3F7U0G', '3BXQMRHWKZYOTZT54EFM1JLZ6JDUMY', '3Z7EFSHGN9E31HB9WUWVIUFR6NUXCF', '33IZTU6J811J8Y05TGMVXZJ9SQJSX7', '3BWI6RSP7G9OJ0PWA8YSEJ26P6PE7R', '37TD41K0AH9V50PA2KQ8JMYZR8WSC6', '3YWRV122CSZ98AR1AD53W1K4MDL8UJ', '3RXCAC0YIRPQ3SQ6Q8GMSMJDD6FG82', '33F859I566DN5MJODQIE4OLF0CCBHU', '3G5W44VEU7IAYTS7ZXDPIRS4862GKE']",5,5,5,5,5,5,5,5,5,5,5.0,15
