HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
37NXA7GVST62EC3RJQJB98C4WQAVLA,"[""<b>A:</b> It's been very sunny lately, hasn't it?"", '<b>B:</b> Yes, it has. Some rain would be very nice.']","['<b>A:</b> What are you going to do about your death?', ""<b>B:</b> Well, mostly I'll try to avoid it.""]","['<b>A:</b> My grandma bought me some chocolates yesterday.', '<b>B:</b> That is an impressive-looking box.']","['<b>A:</b> Can you help me find an apartment?', '<b>B:</b> Sure, I would be happy to help.']","['<b>A:</b> This is Joseph Walters, the inspector.', ""<b>B:</b> Hello, Joseph. I'm the buyer, Mrs. Smith""]","[""<b>A:</b> Doesn't that new Godzilla movie look good?"", '<b>B:</b> The effects are much better than in the old movies.']","[""<b>A:</b> What's this stain?"", ""<b>B:</b> I don't know.""]","['<b>A:</b> Where are you going?', '<b>B:</b> I have to walk the dog.']","['<b>A:</b> They should increase the voting age to 21.', '<b>B:</b> Why do you think they should do that?']","['<b>A:</b> You look troubled.', '<b>B:</b> I feel terrible.']"
3Q9SPIIRWJMYXICSC9ZHMWF79NEAWI,"[""<b>A:</b> Let's play cards."", ""<b>B:</b> I don't know any card games.""]","[""<b>A:</b> Something's wrong with my computer."", '<b>B:</b> Exactly what?']","['<b>A:</b> You look lost. Are you in need of any directions?', '<b>B:</b> I was just about to ask someone for directions. Thank you for noticing.']","[""<b>A:</b> You're yawning."", '<b>B:</b> I sure am.']","[""<b>A:</b> What's wrong? You look sad."", '<b>B:</b> I was rejected from my dream school.']","['<b>A:</b> I was hoping you could help me.', ""<b>B:</b> I'll try. What help do you need?""]","[""<b>A:</b> I'm starving!"", ""<b>B:</b> Me too. Let's get something to eat.""]","['<b>A:</b> That is such a cute dress!', '<b>B:</b> Thanks! I bought it yesterday.']","[""<b>A:</b> Hey Dennis, this is Ron. How's it going?"", ""<b>B:</b> Hi, Ron. I'm looking for a summer job. I was hoping you could help me.""]","['<b>A:</b> Mom, are there animals in the forest?', '<b>B:</b> Yes, there are many different kinds.']"
3R15W654VDTA947AXRP13LDWFYVQLB,"['<b>A:</b> I like a window seat!', '<b>B:</b> Why are you always so excited about sitting there?']","['<b>A:</b> The prices on fruit have really gone up this year!', ""<b>B:</b> Yes, they have. It's ridiculous!""]","['<b>A:</b> We need a new mattress.', ""<b>B:</b> What's the matter with this one?""]","['<b>A:</b> I have to clean the house.', ""<b>B:</b> Yes, it's very dirty.""]","['<b>A:</b> Ow! That really hurts!', '<b>B:</b> Are you alright? What happened?']","['<b>A:</b> Are you married?', ""<b>B:</b> No. I'm divorced.""]","['<b>A:</b> My brother smokes three packs a day.', '<b>B:</b> Three packs of what?']","['<b>A:</b> Quick! Get in here and wait out the storm!', '<b>B:</b> Oh, my word. Thank you so much.']","['<b>A:</b> Hi John, this is Katy.', ""<b>B:</b> It's so nice to hear your voice.""]","['<b>A:</b> The Beatles are the best.', '<b>B:</b> They are the best musical group ever.']"
3QX22DUVOOHMKULCJ2KQ9LRTWV0VMC,"['<b>A:</b> The house down the street is on fire!', '<b>B:</b> How do you know?']","['<b>A:</b> Does it snow in your hometown?', ""<b>B:</b> Sometimes, when it's very cold.""]","['<b>A:</b> I need a new computer.', ""<b>B:</b> What's the matter with yours?""]","[""<b>A:</b> Don't read that text message now!"", ""<b>B:</b> Why not? We're in the middle of traffic.""]","['<b>A:</b> Do you know which bus will get me from Maywood to Cal State LA?', ""<b>B:</b> Yes, I do. You'll need to take two buses.""]","['<b>A:</b> My laptop is so slow.', '<b>B:</b> Buy a new one.']","['<b>A:</b> Why are you holding your mouth?', '<b>B:</b> I think I cracked a tooth. It hurts so much.']","['<b>A:</b> Do you listen to the radio?', '<b>B:</b> I listen day and night.']","[""<b>A:</b> I'd like to order room service, please."", '<b>B:</b> What would you like to order?']","['<b>A:</b> This floor is falling apart.', '<b>B:</b> How can you tell?']"
3WRAAIUSBJZDMIHIMEV3OFTEIPKAXB,"['<b>A:</b> Why are you taking this class?', '<b>B:</b> I need it to transfer. You?']","[""<b>A:</b> I'm so bad at picking out gifts for my husband."", '<b>B:</b> The eternal question of what to get for the man who has everything.']","[""<b>A:</b> $140. I can't believe it."", '<b>B:</b> What are you talking about?']","['<b>A:</b> Did you hear about the ball player?', '<b>B:</b> The home run hitter on drugs?']","['<b>A:</b> So, how much is the ticket going to cost?', ""<b>B:</b> Well, it's going to be $200.""]","[""<b>A:</b> My grandma's apartment smells funny."", '<b>B:</b> So does mine.']","['<b>A:</b> I got accepted to all of the schools I applied to.', '<b>B:</b> Congrats! You totally deserve it.']","['<b>A:</b> Hey, Richard, I could sure use your help.', '<b>B:</b> What is it, Jerry?']","['<b>A:</b> Look! The bus is coming!', ""<b>B:</b> Let's see if we can cross the street in time to catch it.""]","[""<b>A:</b> Greetings, neighbor. How's it going?"", ""<b>B:</b> Hello to you! It's going just fine. Welcome to the neighborhood.""]"
3ABAOCJ4R84UFMPVX3QG3YSLF3LQMD,"['<b>A:</b> People are funny.', '<b>B:</b> They sure are.']","['<b>A:</b> You need to try harder in school!', '<b>B:</b> I am doing well in school.']","['<b>A:</b> Can you teach me to swim?', ""<b>B:</b> Why don't you take a class instead?""]","['<b>A:</b> Good morning. How are you today?', ""<b>B:</b> I'm doing well. Thank you.""]","[""<b>A:</b> I'm a good card player."", '<b>B:</b> Why is that?']","['<b>A:</b> Do you go to college?', '<b>B:</b> Yes, I do.']","['<b>A:</b> So, how much is the ticket going to cost?', ""<b>B:</b> Well, it's going to be $200.""]","[""<b>A:</b> I'm calling because I got the invitation to your party in the mail."", '<b>B:</b> I was worried that maybe it got lost.']","['<b>A:</b> Good Morning! EDD, how can I help you?', '<b>B:</b> Hello, I recently lost my job. Can I file for unemployment?']","['<b>A:</b> Is this Gage Avenue?', '<b>B:</b> No, this is Florence Avenue.']"
3E9VAUV7BWE2MN7SRAH57T0NKVEAYH,"[""<b>A:</b> I think I'm going to head home."", ""<b>B:</b> Already? It's only midday!""]","['<b>A:</b> You seem a little lost. Can I be of some assistance?', '<b>B:</b> That would be nice of you. I just have one question.']","[""<b>A:</b> I've run out of money for my iTunes!"", '<b>B:</b> You used it all up already?']","['<b>A:</b> Why are you taking this class?', '<b>B:</b> I need it to transfer. You?']","['<b>A:</b> What happened to your car?', '<b>B:</b> I got a dent in the parking lot.']","['<b>A:</b> Why do I have a negative balance in my checking account?', '<b>B:</b> This means you used more money than you actually had in your account.']","[""<b>A:</b> Help, please. My key won't open the front door to my apartment."", '<b>B:</b> Oh, no. Let me try to help you.']","['<b>A:</b> I hate to go outside.', '<b>B:</b> Me too.']","['<b>A:</b> What are those men doing with brooms?', '<b>B:</b> I think those are special brushes.']","['<b>A:</b> My parents go to church every Sunday.', '<b>B:</b> They trust in God.']"
302U8RURJZ1S2C6CV3ZQM0GT1LAVNC,"[""<b>A:</b> Let's discuss the security deposit."", '<b>B:</b> Do you have the full amount for the deposit?']","['<b>A:</b> Take off your shoes and walk in the sand!', ""<b>B:</b> I'd rather not. I bought swim shoes.""]","['<b>A:</b> Do you know why I stopped you?', '<b>B:</b> No, officer. Why?']","['<b>A:</b> What is there to eat?', ""<b>B:</b> I don't know. Look in the fridge.""]","['<b>A:</b> Good morning. How are you today?', ""<b>B:</b> I'm fantastic. How about yourself?""]","[""<b>A:</b> Let's book a trip to Puerto Rico."", '<b>B:</b> There are so many online services that let us book from our computer right here at home.']","['<b>A:</b> I am so hungry.', ""<b>B:</b> Why don't you heat up a TV dinner?""]","['<b>A:</b> Do you like baseball?', ""<b>B:</b> I've never watched a game.""]","['<b>A:</b> Are you locked out of your apartment?', '<b>B:</b> It appears that I am.']","[""<b>A:</b> My girlfriend's mom got mad at me at the dinner table."", '<b>B:</b> Why was that?']"
38F60IALAGHA4OAGP2XDA6WVW7K0TR,"['<b>A:</b> Why are you eating another apple?', '<b>B:</b> You know what they say about apples!']","[""<b>A:</b> Greetings, neighbor. How's it going?"", ""<b>B:</b> Hello to you! It's going just fine. Welcome to the neighborhood.""]","['<b>A:</b> Life is hard.', '<b>B:</b> It sure is.']","[""<b>A:</b> Let's go to the mall."", '<b>B:</b> What for?']","[""<b>A:</b> Dad, I don't have my own car."", '<b>B:</b> Your mom and I talked to you about this.']","['<b>A:</b> Why is the guy behind me honking?', '<b>B:</b> You are going too slow.']","['<b>A:</b> Be careful how you peel those potatoes!', ""<b>B:</b> What's so hard about peeling potatoes?""]","['<b>A:</b> Hi sir. I have seen you a lot.', '<b>B:</b> I come to this restaurant twice a week.']","['<b>A:</b> Hey, where were you all afternoon?', '<b>B:</b> I was working out at the health club!']","['<b>A:</b> Why did you throw snow at your brother?', '<b>B:</b> It was a snowball fight.']"
37MQ8Z1JQEWDHKCOEVOQ1BHP87LY2X,"['<b>A:</b> Hey Alice, do you have a stapler I can use?', ""<b>B:</b> Of course I do. It's on my desk.""]","['<b>A:</b> I have decided not to transfer.', '<b>B:</b> Why not? You kept saying you wanted to.']","['<b>A:</b> Can I check the apartment for any damages?', '<b>B:</b> Absolutely, let me accompany you.']","['<b>A:</b> Election Day is next Tuesday.', '<b>B:</b> Did you register to vote?']","[""<b>A:</b> I'm sorry, but today's bus tour has been canceled because of the weather."", '<b>B:</b> Now what am I supposed to do?']","['<b>A:</b> Have you checked your smoke detectors recently?', ""<b>B:</b> No, I wasn't even aware we had smoke detectors.""]","['<b>A:</b> Can you cut my hair a little differently this time?', '<b>B:</b> Sure! How would you like it cut?']","['<b>A:</b> Did you write a letter to grandma?', '<b>B:</b> Yes, I did.']","['<b>A:</b> I lost my new pen.', '<b>B:</b> Where did you lose it?']","['<b>A:</b> I hope this neighborhood is more to your liking.', '<b>B:</b> Yes, it definitely is.']"
