WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A2QIU9DSW6EOW5,"['379J5II41OGNYLEYE2Z2XOK7J4QLEU', '32KTQ2V7RDFQ975263KV5NYLSDB9MN', '3OLF68YTN91Y8GNQCMUI6SPW1U9FAT']",2.3333333333333335,2.6666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.3333333333333335,2.3333333333333335,2.6666666666666665,3
A1WU3W1JZ58D1U,"['3II4UPYCOJ7TXCGBACWE8S1GTZNDQV', '32XVDSJFPZXF9NK3LU5GV0Q7M78M2F', '3VA45EW49NNWK5NJF6KFIL57P1JO1P', '3U4J9857OEBQCXDC0HW2DBWLLO1B76', '3Y54SXRO1LLS6UJPDBGYNXGRZ6XTUF', '38YMOXR4MUZZW0XICYN6UB9A0EVW64']",2.5,2.3333333333333335,2.8333333333333335,2.8333333333333335,2.5,2.5,2.6666666666666665,2.5,2.5,2.3333333333333335,2.5,6
A1N6RL4HOT02K4,['3A9AA95ATWMDTN03VTZ6ABNEBML5P6'],2,3,2,2,3,4,4,3,3,2,3.0,1
AAW3TRPHKSB3B,['3F6HPJW4JD0BEZEHPWB34YSYKA62W8'],5,5,5,5,5,5,5,5,5,5,5.0,1
AO6B0VEVBGGAP,"['35USIKEBNRG996O4KXWJYSWJ73IN6X', '3MMN5BL1WZ44U5GMPUJLEAVZSM0M3K', '39OWYR0EPKRZ4YLTSS8Y9E734M2YFE', '3U5NZHP4LR2P9GKYWV0FZ8Q4GWLHPA', '33OOO72IVHLWK02PRKVYTRULS6ZCTX', '3HUTX6F6VUN39Q5FYAKTN4FCH802OP', '3J2UYBXQQLC6OAWXJRULNG06ZA506X', '32ZKVD547FN8BECPY5TC0UK5GM93BN', '3DEL4X4EL6LG4KCESMEKFL7A8RPYXW', '3IOEN3P9S7J6VZHFFAYL1LJG42P16F', '30JNVC0OR9KA9SLDW8F4ZDGELTAQHF', '3TYCR1GOTCJL9G5UAPDFIYLP7C2LZ7', '3KWTYT08703N22L5316ZTUEU6FTL53', '33PPO7FECVFGGESSX4R5ZQAU2Q1IDU', '3LUY3GC63Z0SGREMJME38V1A2UG7PR', '3QXNC7EIPIVT6TYVHYXX7QR8PBQ90U', '3LQ8PUHQFLSXSUXUJ0AVQBPSUJYHI8', '3LEP4MGT3G06T6EMRUZOD36H7ZOBDJ', '33PPUNGG385WCE07F9AB4AUOD50ZRM', '3WS1NTTKEYC273P8KKXPHMDJS9R0FJ']",2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,20
A2RXT3RD9SGVLJ,['3L70J4KAZGM1AW9ULGZSISMBPGPAD7'],5,5,5,5,5,5,5,5,5,5,5.0,1
A1K5ILJMG439M5,"['3Y9N9SS8LYB1QBA9C1KIVK85J6YD3F', '3NG53N1RLVJWG5J5TR69MVX5DDKP8S', '34J10VATJFYA5NWX2QXPZPHTL5DIQM', '36TFCYNS44AUIPMPIMAWTLC7IV1XHL']",2.0,2.75,2.75,2.75,2.25,2.75,2.75,2.75,2.25,2.0,2.75,4
A1MC4JNAU3Q1GY,"['3PEIJLRY6TTCFFHEDLWWUOMUXI7WXB', '3YMU66OBIN8JW3RZTCAS5ZCCF40HG6', '3OF2M9AATGOAPANCPP1E3Y8AIB5KZ9', '3HVVDCPGTES9N33UNCDNQIM4VUZYT9', '3VFJCI1K4ZZWLX52PHMMJ3EI2DGRGV', '33SA9F9TRXU39FQXIG646Z1NHCNEWB']",5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,6
AJKA9BKC011F2,"['3FPRZHYEPY7NKSAV3MKC16ECJEEV3A', '3IRIK4HM3AKQI2RDV7N5IH278YTC6R', '3SLE99ER0ND9W7JIJCOL4VPKVIDBZZ']",2.0,2.3333333333333335,2.0,2.0,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,2.0,2.0,3
A1T26UYWIO90JJ,['3Y5140Z9DXGP5BVI2DI0ZKRJG9DIPH'],2,2,2,2,2,2,2,2,2,2,2.0,1
